com.samsung.shealth.best_records,6188005,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-100003,2019-06-03 05:25:45.758,2019-06-03 05:25:45.758,,1559433600000,0,30.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,2fbc3093-4a5a-4e80-aca2-072830daa9f5,
,-100003,2019-06-07 00:38:42.376,2019-06-07 00:38:42.376,,1559779200000,0,16154.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,4bfb66df-28f8-40ce-8ab4-155fc54c5de5,
,-100003,2019-09-12 22:49:01.168,2019-09-12 22:49:01.168,,1568246400000,0,22470.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,4583ae68-e6c2-49ea-a580-22aebb3e45f8,
,-1,2019-12-27 02:06:46.229,2019-12-27 02:06:46.229,,1577318400000,6,62.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,0cdabc7d-a03c-4280-b28a-ac916f88bb77,
d419646e-da34-95d7-c882-a58761d6a254,-1,2021-09-21 07:55:09.940,2020-02-25 09:54:21.282,,1578657414897,4,10.0,1001,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,ad84fa1d-678e-4bbe-90d3-bb5d9acc99ee,
4e7e1858-222d-19d0-c394-21989161c120,-1,2021-09-21 07:55:09.903,2020-05-24 16:47:27.579,,1590340184630,3,17483.79,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,69c87132-ebdc-49de-997f-5cd528654a99,
,-1,2021-02-27 20:58:46.940,2021-02-27 20:58:46.940,,1614384000000,6,64.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,842c5a6c-261a-415c-9945-8506ad52e5f9,
,-100003,2019-06-03 23:58:57.731,2019-06-03 23:58:57.731,,1559520000000,0,9137.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,a01f3aa9-09b7-42fe-abb9-fe59bcde3f6a,
,-1,2019-06-07 22:55:25.583,2019-06-07 22:55:25.583,,1559865600000,6,33.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,086fbf95-6460-4375-8d59-2d3bbec8cf77,
49d1cd46-a89c-674b-5dd3-09c3181a1bd5,-1,2021-09-21 07:55:09.893,2019-12-16 09:22:13.028,,1576488108398,1,3616360.0,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,b355cbbf-8884-4b0c-8e90-cbb5c493b8ea,
3676077b-7b94-c4f9-9458-dc2c327017e6,-1,2021-09-21 07:55:09.796,2020-01-04 08:15:10.485,,1578119920740,1,7106990.0,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,76790cce-850f-4887-bfdf-4a7614f39ad7,
9d14ee08-b50a-938b-86c4-fcaadd978929,-1,2021-09-21 07:55:09.935,2020-04-13 16:21:32.958,,1586787921720,1,7453100.0,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,d0706926-4f3c-4bad-9dbd-fbeb894bb8f0,
02171ba6-1cad-4895-9c4d-5d728350556b,-1,2021-09-21 07:55:09.790,2020-06-07 17:47:37.450,,1591552951567,5,209.0249,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,e6abb384-7970-4f5d-8264-365ccbb3e185,
,-1,2021-03-08 06:58:28.069,2021-03-08 06:58:28.069,,1615075200000,6,87.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,3e306fed-e479-4847-900e-298b17ecb425,
,-1,2019-06-04 14:29:32.198,2019-06-04 14:29:32.198,,1559520000000,6,28.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,763468d0-c430-4c6d-8cf9-7c42de82f4d2,
,-100003,2019-07-03 06:45:35.608,2019-07-03 06:45:35.608,,1562025600000,0,16832.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,30d1d1e8-8c03-4c07-85e4-9ca04ca66466,
49d1cd46-a89c-674b-5dd3-09c3181a1bd5,-1,2021-09-21 07:55:09.893,2019-12-16 09:22:13.097,,1576488108398,2,299.378,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,49e6735f-5133-4036-b5f4-2180b4b9fcdf,
3676077b-7b94-c4f9-9458-dc2c327017e6,-1,2021-09-21 07:55:09.796,2020-01-04 08:15:10.763,,1578119920740,2,588.281,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,644a7556-74a3-47b9-b2f8-91a4fc2a7266,
de75f7be-4a0e-a41a-52bb-ccb2c8962199,-1,2021-09-21 07:55:09.952,2020-05-19 18:59:32.740,,1589914026640,4,10.148,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,d754422d-41f7-4e77-9260-7ed1d001490c,
eba9fb5f-6528-42e6-ba34-cbcaf2b11b4c,-1,2021-09-21 07:55:09.959,2020-06-09 20:00:30.295,,1591735105792,5,219.15073,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,f53a822c-3ff9-4423-9cf4-045d39147cb4,
311dd8bd-fcaf-ae94-9561-c6062f21a958,-1,2021-09-22 08:11:31.125,2021-09-22 08:11:31.125,,1600542179470,3,23434.74,11007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,70123472-17eb-4218-a1c8-7f0d659a7ac2,
,-100003,2019-06-05 00:15:58.532,2019-06-05 00:15:58.532,,1559606400000,0,12546.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,922da1b2-d5bd-423c-84dd-5844644e7af9,
,-1,2019-07-23 13:43:06.097,2019-07-23 13:43:06.097,,1563753600000,6,51.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,0a29c2ea-2809-4793-a17a-1541846c9efa,
6f414c98-1f36-0e0d-ddc7-083cdacada0d,-1,2021-09-21 07:55:09.921,2019-12-21 01:44:38.112,,1576884873352,4,3.088,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,81ddb885-dff7-4040-b87f-ee5214c05f90,
f840b01e-2b84-e054-a1c7-17a84862bd68,-1,2021-09-21 07:55:09.963,2020-01-09 21:32:10.185,,1578601139116,1,7213800.0,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,7ac470c7-e2b6-4fa9-b9cb-eb9bd40d752a,
de75f7be-4a0e-a41a-52bb-ccb2c8962199,-1,2021-09-21 07:55:09.952,2020-05-19 18:59:33.911,,1589914026640,2,600.718,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,c71a9fc9-df08-4b7c-975a-035a47df1f20,
4d07da9d-93a9-463a-8908-1cf8e797f097,-1,2021-09-21 07:55:09.899,2020-06-10 20:28:45.343,,1591819241860,1,8672674.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,f09cc81d-39a9-4efe-9109-b36f67846455,
4f29e4ed-5ef2-8aba-870d-ae842e3b7227,-1,2021-09-22 08:11:31.223,2021-09-22 08:11:31.223,,1592864551740,2,1306.932,1001,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,c4bc04f6-ce4b-41ab-bf1f-9995b33ddf00,
,-1,2019-06-05 12:35:04.696,2019-06-05 12:35:04.696,,1559606400000,6,28.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.floor,ddfbd5bd-6d7a-415b-9620-00acf6488c67,
,-100003,2019-07-23 13:44:16.319,2019-07-23 13:44:16.319,,1563753600000,0,18246.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,f9d6c903-3d9e-4502-81a0-e688fa54a41b,
6f414c98-1f36-0e0d-ddc7-083cdacada0d,-1,2021-09-21 07:55:09.921,2019-12-21 01:44:38.179,,1576884873352,3,571.335,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,fb59a4f8-8038-455e-9af1-6a2e57a15544,
f840b01e-2b84-e054-a1c7-17a84862bd68,-1,2021-09-21 07:55:09.963,2020-01-09 21:32:10.268,,1578601139116,2,597.134,10007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,f25d18d4-7c59-49b6-936e-9cf7985065c5,
de75f7be-4a0e-a41a-52bb-ccb2c8962199,-1,2021-09-21 07:55:09.952,2020-05-19 18:59:34.068,,1589914026640,3,9895.556,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,8e606862-5128-4d3d-a466-3456a9b30db3,
4d07da9d-93a9-463a-8908-1cf8e797f097,-1,2021-09-21 07:55:09.899,2020-06-10 20:28:45.544,,1591819241860,5,286.18225,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_walking,6c0ca74b-6472-40ac-b5f7-6f6fa0ff1732,
215be629-d3d2-2341-4796-e798f303d4d6,-1,2021-09-22 08:11:31.298,2021-09-22 08:11:31.298,,1590179971990,4,10.888,11007,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,1ebdd0df-2e55-4a5a-b386-346e1c465df8,
,-100003,2019-06-05 22:00:01.095,2019-06-05 22:00:01.095,,1559692800000,0,12797.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,31303dd0-f2e9-4fc6-9b8b-fb0b4390ae77,
,-100003,2019-07-28 22:55:28.895,2019-07-28 22:55:28.895,,1564272000000,0,19373.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,c51d674e-bcf1-4b29-a92c-588373c03055,
3dfdc5a9-efc6-2762-1b0c-f726f529c706,-1,2021-09-21 07:55:09.887,2019-12-26 14:48:34.616,,1577372507651,3,3253.093,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_running,2780165a-2b30-451d-b35e-01f4832367fd,
d419646e-da34-95d7-c882-a58761d6a254,-1,2021-09-21 07:55:09.940,2020-02-25 09:54:21.242,,1578657414897,3,8106.921,1001,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_others,3c0ca66f-e93f-4d2a-9198-ad519705b0bb,
4e7e1858-222d-19d0-c394-21989161c120,-1,2021-09-21 07:55:09.903,2020-05-24 16:46:58.241,,1590340184630,2,734.485,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.sport_cycling,44fdc7d2-40c8-4a97-b5d4-01ab206d67ad,
,-100003,2020-06-12 22:00:01.945,2020-06-12 22:00:01.945,,1591920000000,0,30211.0,-1,dNgkxZR9yp,com.sec.android.app.shealth,tracker.pedometer,69ab5c0d-084a-419d-86b8-7ccd18ff4975,
